publish_date,source,headline,url,location,tone,framing,group_mentions,metaphors,euphemisms,absences,grief_handling,blame_or_agency,commodification_of_death
"Mar 29, 2020",The New York Times,Bail Out Journalists. Let Newspaper Chains Die.,https://www.nytimes.com/2020/03/29/business/coronavirus-journalists-newspapers.html,Oregon; Atlantic; Indiana; Maine,neutral,political failure,journalists; nonprofit organizations; hedge fund-owned chains; state governments,doom and gloom; economic shock; free fall,,COVID-19 deaths; healthcare workers; racial minorities; elderly; working-class; healthcare access,absent,The article suggests that the decline of the newspaper industry is due to systemic economic issues and mismanagement by newspaper chains.,"The article treats the crisis as an economic issue, focusing on the survival of journalism as a business rather than addressing the human cost of the pandemic."
,The New York Times · The New York Times,Video: How to Wash Your Hands,https://www.nytimes.com/video/well/100000007053726/wash-your-hands-coronavirus.html,Indiana; China,tragic,systemic injustice,nursing home workers; healthcare workers; homeless; students; hospital staff; innovators; doctors; New Yorkers,battle; kamikazes; uncharted,confront coronavirus dilemma; battling coronavirus; approaches; reshape the narrative,poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,communal,The article suggests systemic failures in healthcare and government response as responsible for COVID deaths.,Death is treated as a political talking point and a statistic in the context of healthcare system strain.
"Mar 19, 2020",The New York Times,"For Italians, Dodging Coronavirus Has Become a Game of ...",https://www.nytimes.com/2020/03/11/world/europe/italy-coronavirus.html,Europe; Indiana; Italy,neutral,preventable,general population,game; probability; bet,,elderly; healthcare access; long COVID; racial minorities; working-class; systemic factors,absent,The article suggests that individuals have agency in reducing the spread by minimizing social interactions.,"The article treats the spread of the virus as a probability and a game, which could imply a statistical view of the situation."
"Mar 12, 2020",The New York Times,The Illness Now Has a Name: COVID-19,https://www.nytimes.com/2020/02/11/world/asia/coronavirus-china.html,Oregon,neutral,other,,,,deaths; grief; healthcare access; systemic factors,absent,The article does not assign responsibility or suggest the deaths were unavoidable.,The article does not address death; it focuses on naming the disease.
"Mar 17, 2020",The New York Times,Did Federal Officials Really Question W.H.O. Tests for ...,https://www.nytimes.com/2020/03/17/health/coronavirus-tests-who.html,Oregon; Indiana; N’T; China,neutral,political failure,Americans,,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,absent,The article suggests political failure by the Trump administration in handling COVID-19 testing.,"The article treats testing as a political talking point, focusing on the accuracy of tests rather than the human impact of COVID-19 deaths."
"Mar 24, 2020",The New York Times,Opinion | Trump to New York: Drop Dead,https://www.nytimes.com/2020/03/24/opinion/trump-nyc-coronavirus.html,Indiana; Maine; Oregon; New York; Washington,tragic,political failure,New Yorkers; multicultural communities; Trump's base,black hole; game; Darwinian frame of mind,gasping for breath,poverty; healthcare access; elder neglect; long COVID; workplace safety,public,The article assigns responsibility to Trump for failing to act and exacerbating the situation.,"The article treats death as a political talking point, highlighting the consequences of political decisions."
"Mar 16, 2020",The New York Times,Coronavirus Is Very Different From the Spanish Flu of ...,https://www.nytimes.com/2020/03/09/health/coronavirus-is-very-different-from-the-spanish-flu-of-1918-heres-how.html,Indiana,neutral,inevitable,health care workers,plague years; scenes resembling,,racial minorities; elderly; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,The article suggests that deaths were unavoidable due to the lack of medical knowledge and technology in 1918.,Death is treated as a historical statistic and comparison point.
"Mar 29, 2020",The New York Times,Arkansas Hunkered Down to Survive Coronavirus. That ...,https://www.nytimes.com/2020/03/29/us/tornado-coronavirus-arkansas.html,Indiana; Arkansas; Jonesboro,tragic,inevitable,religious congregations,storm; bombs dropping,,racial minorities; working-class; healthcare access; elderly; long COVID,communal,The article suggests the deaths were unavoidable due to natural disasters and the spread of the virus.,The article treats death as a tragic event but does not commodify it.
"Mar 30, 2020",The New York Times,Americans Are Already Too Diseased to Go Back to Work ...,https://www.nytimes.com/2020/03/30/opinion/obesity-us-health-coronavirus.html,California; The United States; Italy; Oregon; Indiana; China,tragic,preventable,elderly; people with chronic health problems; people with cardiovascular disease; people with diabetes; people with obesity; children with obesity; younger adults,perfect pandemic storm,,poverty; racism; healthcare access; workplace safety; long COVID,absent,"The article suggests that pre-existing health conditions and lifestyle factors contribute to the risk of severe outcomes, implying some level of preventability.","The article treats death as a statistic and a public health concern, focusing on the prevalence of chronic conditions and their impact on COVID-19 outcomes."
"Mar 28, 2020",The New York Times,Opinion | Covid-19 Brings Out All the Usual Zombies,https://www.nytimes.com/2020/03/28/opinion/coronavirus-trump-response.html,Indiana; Maine; United States; Oregon; China,indifferent,political failure,right-wing media; epidemiologists; climate scientists,zombies; deep state plot,,elderly; racial minorities; working-class; healthcare access; long COVID,absent,The article assigns blame to the Trump administration and right-wing media for downplaying the pandemic and attacking scientific expertise.,"The article treats death as a political talking point, focusing on the political narrative rather than the human cost."
"Mar 30, 2020",The New York Times,Bogotá's Cacophony Is Hushed by Virus as Congested ...,https://www.nytimes.com/2020/03/30/world/americas/bogota-colombia-coronavirus-silence.html,Indiana,tragic,systemic injustice,working-class; elderly,natural process,,poverty; healthcare access; workplace safety,absent,"The article suggests the deaths were unavoidable due to systemic failures, such as confusion over quarantine measures.","The article implicitly treats death as a backdrop to the city's return to normalcy, highlighting systemic failures rather than individual tragedies."
"Mar 27, 2020",The New York Times,Four Ways to Measure Coronavirus Outbreaks in U.S. ...,https://www.nytimes.com/interactive/2020/03/27/upshot/coronavirus-new-york-comparison.html,Seattle; New York’S; Oregon; China; Lombardy; Micropolitan; Britain; Wuhan; United States; Indiana; The United States; New Orleans; Westchester; New Jersey; San Francisco; Baton Rouge; La.; New York City; Italy; Long Island; New York; Detroit,neutral,inevitable,elderly; sickest patients,flatten the curve,,poverty; racism; healthcare access; long COVID; workplace safety,absent,The article does not assign blame; it suggests that the spread is a natural progression of the epidemic.,The article treats death as a statistic and a measure for comparison.
"Mar 31, 2020",The New York Times,"Nurses Die, Doctors Fall Sick and Panic Rises on Virus ...",https://www.nytimes.com/2020/03/30/nyregion/ny-coronavirus-doctors-sick.html,New York City; Indiana; Manhattan,tragic,inevitable,doctors; nurses; medical professionals,exploding; petri dish,,racial minorities; working-class; elderly; long COVID; healthcare access,communal,"The article suggests the deaths and illnesses are an inevitable consequence of the pandemic, with no specific blame assigned.",The article implicitly treats death and illness as a cost of doing business in the healthcare system during the pandemic.
"Mar 24, 2020",The New York Times,Density Is Normally Good for Us. That Will Be True After ...,https://www.nytimes.com/2020/03/24/upshot/coronavirus-urban-density-risks.html,New York City; Indiana; New York; Nyc,neutral,inevitable,elderly; children,disaster,togetherness itself could now be deadly,poverty; racism; healthcare access; working-class; long COVID,absent,"The article suggests that density is a contributing factor to COVID deaths, implying a lack of agency in controlling the situation.","The article treats death as a consequence of urban density, focusing on density as a statistic rather than individual loss."
"Mar 19, 2020",The New York Times,"Coronavirus, Italy's Overwhelmed Hospitals, Israel Protests",https://www.nytimes.com/2020/03/19/briefing/coronavirus-china-italy-hospitals-wallabies.html,Russia; New Zealand; India; Lombardy; China; Wuhan; Indiana; The United States; Ayodha; Israel; Taiwan; Hong Kong; Singapore; Australia; Canada; Europe; Italy,neutral,inevitable,army; health workers; citizens; Hindus,overwhelmed; trajectory,transport bodies; good news,poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,absent,The article suggests the deaths are unavoidable and focuses on logistical responses.,Death is treated as a statistic and logistical challenge.
"Mar 12, 2020",The New York Times,"Deaths in China Rise, With No Sign of Slowdown",https://www.nytimes.com/2020/02/04/world/asia/coronavirus-china.html,Oregon; Indiana; Wuhan,neutral,inevitable,elderly; men; people with pre-existing health conditions,wave,,poverty; racism; healthcare access; long COVID; workplace safety,absent,The article suggests the deaths are somewhat unavoidable due to overwhelmed healthcare systems and lack of resources.,"The article treats death as a statistic, focusing on numbers and rates."
"Mar 27, 2020",The New York Times,What Hospitals and Health Care Workers Need to Fight ...,https://www.nytimes.com/interactive/2020/03/11/us/virus-health-workers.html,W.H.O.; Queens; Indiana; Forest Hills; Washington State; Oregon; China; America; United States; The United States,urgent,systemic injustice,health care workers; nurses; doctors; elderly; patients with underlying conditions,battle; marathon,,poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,absent,The article implies systemic issues and governmental inadequacies in supply chain management and preparedness are to blame for the shortages of protective equipment.,"The article treats death and illness as a statistic and a logistical challenge for hospitals, focusing on numbers and supplies rather than individual stories."
"Mar 5, 2020",The New York Times,He Drove Her to the Hospital. She Gave Him ...,https://www.nytimes.com/2020/02/28/world/asia/thailand-coronavirus-bangkok.html,Bangkok; Japan; Indiana; Singapore; China; Beijing,neutral,inevitable,taxi drivers; Chinese visitors,viral hot spot,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,"The article does not assign explicit blame or agency for the COVID deaths, suggesting an unavoidable nature.","The article treats death as a statistic and a political talking point, focusing on the economic impact on taxi drivers."
"Mar 16, 2020",The New York Times,"An Epicenter of the Pandemic Will Be Jails and Prisons, if ...",https://www.nytimes.com/2020/03/16/opinion/coronavirus-in-jails.html,Houston; Pennsylvania; Indiana; Prisons; Oregon; America,tragic,systemic injustice,incarcerated people; correctional staff; families; health care workers; educators; visitors,epicenter; ethical sacrifice,,poverty; racism; healthcare access; elder neglect; long COVID,absent,"The article suggests systemic issues in jails and prisons are responsible for the spread of COVID-19, highlighting the need for protective measures.","The article implicitly treats death as a potential outcome of systemic failures in jails and prisons, focusing on the need for policy changes rather than individual stories."
"Mar 17, 2020",The New York Times,Coronavirus in N.Y.: The Latest,https://www.nytimes.com/2020/03/17/nyregion/coronavirus-nyc.html,N.Y.; New York State’S; Oregon; Indiana; New York; Delaware,neutral,inevitable,working-class,lifeblood; flood,,COVID-19 deaths; healthcare access; racial minorities; elderly; long COVID; systemic injustice,absent,The article does not assign responsibility for COVID deaths; it focuses on economic impacts.,"The article treats the situation as a statistic and economic impact, focusing on business closures and unemployment."
"Mar 6, 2020",The New York Times,Stocks Plunge Again on Coronavirus Fears,https://www.nytimes.com/2020/03/05/business/stock-market-covid-19.html,California; The United States; San Francisco; Indiana; China,indifferent,inevitable,,spread; bouts of panic; full-court-press efforts,cases; fatal,elderly; racial minorities; working-class; disabled; healthcare access; long COVID; workplace safety,absent,"The article does not assign direct responsibility for COVID deaths, suggesting the deaths were part of an inevitable economic impact.",The article treats death as a statistic and a factor affecting economic forecasts and market performance.
"Mar 17, 2020",The New York Times,"The Coronavirus Is Here to Stay, So What Happens Next?",https://www.nytimes.com/2020/03/17/opinion/coronavirus-social-distancing-effect.html,Germany; The United States; Oregon; Indiana; Denmark,neutral,inevitable,health care workers; policymakers; American citizens,pumping a car’s brakes on an icy road; roller coaster; bumpy ride,,racial minorities; working-class; elderly; disabled; undocumented immigrants; poverty; racism; healthcare access,absent,The article suggests the situation is inevitable and focuses on preparedness rather than assigning blame.,Death is implicitly treated as a statistic and part of a broader public health challenge.
"Mar 14, 2020",The New York Times,Coronavirus Racism Infected My High School,https://www.nytimes.com/2020/03/14/opinion/Racism-coronavirus-asians.html,The United States; San Francisco; Maine; Italy; Indiana; Manhattan; China,tragic,systemic injustice,Asian-Americans; Chinese; Irish immigrants; Jewish; Chinatown residents,virus spreading; Petri dish for racism,,poverty; healthcare access; long COVID; workplace safety,absent,The article assigns responsibility for COVID-related racism to societal prejudices and misinformation rather than individuals.,The article does not commodify death but highlights the social costs of racism as a parallel issue.
"Mar 20, 2020",The New York Times,Is Our Fight Against Coronavirus Worse Than the Disease?,https://www.nytimes.com/2020/03/20/opinion/coronavirus-pandemic-social-distancing.html,The United States; Netherlands; Wuhan; Indiana; The United Kingdom; South Korea; China,neutral,inevitable,elderly; those with chronic illnesses,fight; vector; dead ends,small percentage of cases; mild and asymptomatic cases,poverty; healthcare access; racial minorities; working-class; long COVID; workplace safety,absent,"The article suggests deaths are largely due to age and pre-existing conditions, implying inevitability rather than assigning blame.","The article treats death as a statistic, focusing on data and percentages."
"Mar 12, 2020",The New York Times,"In 1918, It Wasn't the Coronavirus. It Was the Spanish Flu.",https://www.nytimes.com/2020/03/08/arts/the-spanish-flu.html,Philadelphia; Indiana,tragic,inevitable,expectant mothers; Philadelphians; curatorial staff; volunteers; students,heat map of infection; artifact-light exhibit,passed away; died,poverty; healthcare access; racial minorities; working-class; elderly; long COVID,communal,"The article does not assign blame or agency, suggesting the deaths were a result of an overwhelming community trauma.",The article treats death as a historical data point and a subject of academic research.
"Mar 26, 2020",The New York Times,My Dad Has Coronavirus. I Don't Know if I Should Say ...,https://www.nytimes.com/2020/03/26/opinion/coronavirus-family-grief.html,Los Angeles; N’T; Indiana; Maine; Oregon; New York,hopeful,personal tragedy,,purgatorial wait; eternal not-there-ness; bracing for a future,eternal not-there-ness; anticipatory grief,healthcare access; systemic factors; elder neglect; long COVID,private,The article does not assign blame or agency; it suggests the deaths are a personal tragedy and part of a natural process.,"The article treats death as a personal and emotional experience, not as a statistic or political talking point."
"Mar 18, 2020",The New York Times,A Virus Put My Asthmatic Son in the I.C.U. What Could ...,https://www.nytimes.com/2020/03/17/parenting/coronavirus-asthma-kids.html,San Francisco; Maine; Oregon; China; M.D.; The United States; Indiana,anxious,personal tragedy,children; parents; asthmatic children,sharks; battle with illness,spared the more severe manifestations; sickness causing increased asthma,poverty; healthcare access; racial disparities; long COVID,private,The article does not assign blame or agency; it suggests uncertainty and evolving knowledge about the virus.,The article treats death as a potential outcome but focuses more on personal fear and uncertainty rather than statistics or political points.
"Mar 5, 2020",The New York Times,Manhattan Woman Is First Confirmed Case in State,https://www.nytimes.com/2020/03/01/nyregion/new-york-coronvirus-confirmed.html,N.Y.; Albany; New York City’S; Atlanta; Indiana; New York,neutral,inevitable,health care worker,unique case,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; long COVID; workplace safety; healthcare access,absent,"The article suggests the situation is under control and does not assign blame, implying the case was unavoidable.",The article treats the case as a statistic and a point of public health management.
"Mar 12, 2020",The New York Times,Fact-Checking President Trump's Claims on the Coronavirus,https://www.nytimes.com/2020/03/05/us/politics/trump-coronavirus-fact-check.html,The Democratic Republic Of Congo; Indiana; Sierra Leone; United States; Oregon; Ebola,indifferent,political failure,,fight; control,disappeared; not had one death,elderly; racial minorities; working-class; healthcare access; long COVID,absent,"The article suggests that the administration is not to blame, framing criticism as politically motivated rather than substantive.","Death is treated as a political talking point, with an emphasis on statistics and control rather than human impact."
"Mar 5, 2020",The New York Times,What It's Like to Come Home to the Stigma of Coronavirus,https://www.nytimes.com/2020/03/04/us/stigma-coronavirus.html,The United States; Indiana,tragic,personal tragedy,Americans; cruise ship passengers; neighbors,plight of pariahs,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,The article implicitly assigns blame to societal pressure and public perception for stigmatizing individuals perceived to be a threat.,"The article treats the situation as a political talking point, focusing on societal reactions rather than individual experiences of illness or death."
,The New York Times · The New York Times,Video: Protesting Femicide in Mexico,https://www.nytimes.com/video/world/americas/100000007023396/march-femicide-women-mexico.html,Mexico City; Mexico; United States; Indiana,tragic,systemic injustice,women; children; victims of femicide; female police; anarchist contingent,hate crime; culture of violence,,poverty; racism; government accountability; law enforcement effectiveness,public,The article implies systemic failure by the government and law enforcement in addressing femicide.,The article treats death as a political talking point to highlight systemic issues and motivate activism.
"Mar 24, 2020",The New York Times,Density Is Normally Good for Us. That Will Be True After ...,https://www.nytimes.com/2020/03/24/upshot/coronavirus-urban-density-risks.html,New York City; Indiana; New York; Nyc,neutral,inevitable,elderly; children,disaster,,poverty; racism; healthcare access; long COVID; workplace safety,absent,"The article suggests that density is to blame for the spread of COVID-19, implying an unavoidable aspect due to urban living conditions.","The article treats the issue as a public health challenge, focusing on density as a statistic rather than individual loss."
"Mar 16, 2020",The New York Times,The Newsroom at the Center of a Pandemic,https://www.nytimes.com/2020/03/16/business/media/coronavirus-seattle-times.html,The United States; Seattle; Snohomish County; Indiana; China; The West Coast,neutral,inevitable,elderly,epicenter,someone had died,racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,absent,"The article does not assign responsibility, suggesting the deaths were unavoidable.","Death is treated as a news event, a trigger for journalistic activity."
"Mar 23, 2020",The New York Times,Party Zero: How a Soirée in Connecticut Became a 'Super ...,https://www.nytimes.com/2020/03/23/us/coronavirus-westport-connecticut-party-zero.html,South Africa; Fairfield County; Connecticut; New York City; The United States; Northern Italy; Johannesburg; Westchester County; Indiana; New York,neutral,inevitable,partygoers; businessman; children; workers,super-spreading event,,poverty; racism; healthcare access; elderly; racial minorities; working-class; disabled; incarcerated people; undocumented immigrants,absent,The article suggests the spread was somewhat unavoidable due to the nature of 'super-spreading events' and does not assign specific blame.,The article treats the spread of the virus and its consequences as a statistic and an epidemiological phenomenon.
"Mar 27, 2020",The New York Times,Opinion | What India Needs to Fight the Virus,https://www.nytimes.com/2020/03/27/opinion/india-coronavirus-lockdown.html,Indiana; India; Kerala; Oregon; Washington,urgent,preventable,Indians; daily wage earners; poor; health workers; doctors; public health professionals,onslaught; tide over,exacting a heavy toll,elderly; racial minorities; disabled; long COVID; workplace safety,absent,The article suggests that the Indian government and health system have agency and responsibility to prevent further deaths by addressing gaps in capacity and providing economic support.,The article treats death as a potential statistic and a cost of failing to address systemic gaps.
"Mar 11, 2020",The New York Times,Nursing Homes Becoming Islands of Isolation Amid ...,https://www.nytimes.com/2020/03/10/us/coronavirus-nursing-homes-washington-seattle.html,Wash.; The United States; Washington State; Stanwood; Indiana,tragic,inevitable,elderly; health care administrators; families,islands of isolation; jailhouse visitors,frail loved ones,poverty; elder neglect; healthcare access; long COVID,private,The article suggests the deaths are unavoidable due to the unprecedented nature of the virus and the necessary protective measures.,The article treats death as a statistic and a challenge for the industry to manage.
"Mar 17, 2020",The New York Times,Coronavirus in N.Y.: The Latest,https://www.nytimes.com/2020/03/17/nyregion/coronavirus-nyc.html,N.Y.; New York State’S; Oregon; Indiana; New York; Delaware,neutral,economic impact,workers; businesses,lifeblood; flood,,COVID-19 deaths; healthcare workers; racial minorities; elderly; healthcare access,absent,The article does not assign responsibility for COVID deaths; it focuses on economic disruptions.,"The article treats the situation as an economic issue, with death and illness absent from the discussion."
"Mar 15, 2020",The New York Times,Fed Slashes Rates to Near-Zero and Unveils Sweeping ...,https://www.nytimes.com/2020/03/15/business/economy/federal-reserve-coronavirus.html,Germany; Minnesota; Denmark; Oregon; Austria; Indiana; The United States; South Carolina; Luxembourg; Switzerland; St. Patrick’S Day; New York City’S; Italy; France; Continent; Ireland; Rhode Island,neutral,inevitable,public officials; students; European Union member states,wreaking havoc; harbinger of the threat,,elderly; racial minorities; working-class; disabled; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,"The article suggests the deaths could be mitigated by swift government action, implying some level of agency and responsibility on the part of governments.","The article treats death as a statistic and a harbinger of potential future impacts, focusing on numbers and potential threats rather than individual losses."
"Mar 10, 2020",The New York Times,"Making a Plague Movie, With Coronavirus on the Doorstep",https://www.nytimes.com/2020/03/01/world/europe/coronavirus-movie-italy-decameron.html,Oregon; Indiana; Plague Movie,neutral,inevitable,,synergy; collided,,elderly; racial minorities; working-class; healthcare access; systemic factors,absent,The article does not assign responsibility for COVID deaths; it suggests the deaths were unavoidable.,Death is implicitly treated as a backdrop for artistic inspiration and a talking point for actors.
"Mar 27, 2020",The New York Times,"On the Front Lines of a Pandemic, 'I Love You' Can Mean ' ...",https://www.nytimes.com/2020/03/27/style/modern-love-coronavirus-seattle-kirkland.html,Wash.; Oregon; Indiana; Kirkland,tragic,personal tragedy,healthcare workers; family,front lines; ravages of the disease; epicenter,succumb to the ravages of the disease,racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,private,"The article does not explicitly assign blame, but suggests inevitability due to exposure.",Death is not commodified; it is presented as a personal and emotional experience.
"Mar 3, 2020",The New York Times,U.S. Plans 'Radical Expansion' of Coronavirus Testing,https://www.nytimes.com/2020/02/29/health/fda-coronavirus-testing.html,Nashville; Italy; United States; Atlanta; Indiana; China,neutral,political failure,state health departments; public health labs; patients; travelers,glitch; scaling up,,racial minorities; elderly; working-class; healthcare access; systemic factors,absent,The article assigns responsibility to the C.D.C. for the testing failures and delays.,"The article treats the issue as a logistical and bureaucratic problem, focusing on testing as a statistic and process rather than on individual human impact."
"Mar 25, 2020",The New York Times,Congress to Vote on Coronavirus Rescue Package,https://www.nytimes.com/2020/03/12/world/coronavirus-live-news-updates.html,Kentucky; N’T; The South Koreans; Oregon; China; A.R.D.S.; Wuhan; Indiana; The United States; Maine; Oklahoma; Atlanta; Italy; New York; Africa; Fever,neutral,inevitable,elderly; young people; pregnant women; healthcare workers,war; fight,mild cases; resolved themselves,poverty; racism; healthcare access; long COVID; workplace safety,absent,"The article suggests that personal responsibility and social distancing are key to preventing the spread, implying that individuals have agency in preventing deaths.","The article treats death as a statistic and a potential outcome of systemic overload, such as running out of ventilators."
"Mar 25, 2020",The New York Times,How Coronavirus Exposes the Great Lie of Modern ...,https://www.nytimes.com/2020/03/25/opinion/coronavirus-parenting.html,New York City; Indiana; Oregon; Hong Kong; Singapore,neutral,personal tragedy,parents; children; well-resourced white women,,,elderly; racial minorities; working-class; disabled; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,private,"The article suggests a lack of consensus among experts and societal pressure as factors influencing decisions, implying that the responsibility is diffuse and the situation is complex.",The article does not explicitly commodify death but focuses on the personal decision-making process and societal pressures.
"Mar 27, 2020",The New York Times,"Amid Desperate Need for Ventilators, Calls Grow ...",https://www.nytimes.com/2020/03/25/health/ventilators-coronavirus.html,The United States; New York; Indiana; United States,tragic,political failure,patients; state leaders; federal government; manufacturers,national crisis; referee the situation,,racial minorities; elderly; disabled; healthcare access; poverty; long COVID,absent,The article assigns responsibility to the federal government for not taking control of ventilator allocation.,The article implicitly treats death as a statistic by focusing on the number of ventilators and patients.
"Mar 29, 2020",The New York Times,'A Heart-Wrenching Thing': Hospital Bans on Visits ...,https://www.nytimes.com/2020/03/29/health/coronavirus-hospital-visit-ban.html,Edison; Indiana; N.J.,tragic,personal tragedy,patients; family members,fog of worry and confusion,respiratory failure from an infection caused by the coronavirus,healthcare access; long COVID; systemic healthcare issues,private,"The article suggests the separation was mandated by hospitals, implying a lack of agency for the family.",The article does not treat death as a statistic but focuses on the personal impact and emotional loss.
"Mar 6, 2020",The New York Times,China Pushes Back as Coronavirus Crisis Damages Its ...,https://www.nytimes.com/2020/03/06/world/asia/china-coronavirus-image.html,Indiana; Japan; Oregon; South Korea; China; Iran; Europe; Italy; The United States; Beijing,neutral,political failure,travelers; diplomats,march; toolbox; hammer,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,The article suggests that China is responsible for its own diplomatic failures by imposing travel restrictions it previously criticized.,The article treats the situation as a political issue rather than focusing on individual deaths or personal tragedies.
"Mar 13, 2020",The New York Times,Opinion | Coronavirus and the Isolation Paradox,https://www.nytimes.com/2020/03/13/opinion/coronavirus-social-distancing.html,Oregon; Indiana; Tulsa; Okla.,neutral,preventable,working-class; Americans; people with Covid-19,fight-or-flight; epidemic of loneliness,poor health; death from heart disease,poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,absent,"The article suggests that social distancing measures, while necessary, may inadvertently contribute to loneliness and related health issues.","The article treats death as a potential outcome of loneliness, which is discussed in terms of health statistics and comparisons to smoking."
"Mar 3, 2020",The New York Times,"China Spins Coronavirus Crisis, Hailing Itself as a Global ...",https://www.nytimes.com/2020/02/28/world/asia/china-coronavirus-response-propaganda.html,The United States; Indiana; South Korea; China,other,political failure,Chinese government; Chinese public; countries like the United States and South Korea,fight,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,absent,"The article assigns responsibility to the Chinese government for silencing whistle-blowers and withholding information, suggesting these actions allowed the epidemic to take hold.",The article implicitly treats death as a political talking point in the context of the Chinese government's image management.
"Mar 19, 2020",The New York Times,Doctors Say Shortage of Protective Gear Is Dire,https://www.nytimes.com/2020/03/19/health/coronavirus-masks-shortage.html,California; The United States; Indiana; New York; Manhattan; Washington,tragic,systemic injustice,doctors; healthcare workers; taxpayers; state residents,war; fight,,racial minorities; working-class; elderly; disabled; long COVID; healthcare access,absent,The article implicitly assigns responsibility to the federal government and the president for not addressing medical equipment shortages.,"The article treats death as a potential outcome of systemic failures, highlighting the lack of protective gear as a critical issue."
"Mar 23, 2020",The New York Times,1000 Inmates Will Be Released From N.J. Jails to Curb ...,https://www.nytimes.com/2020/03/23/nyregion/coronavirus-nj-inmates-release.html,Tulsa; New Jersey; Oregon; New Jersey’S; Okla.; Cleveland; Indiana; New York; N.J.,hopeful,preventable,incarcerated people,disaster,,poverty; racism; healthcare access; long COVID,absent,The article implies agency by the state to prevent COVID deaths among incarcerated people by releasing inmates.,"The article treats the release of inmates as a preventative measure, implicitly acknowledging the value of life over incarceration but does not delve into personal stories or impacts."
"Mar 6, 2020",The New York Times,China Is Tracking Travelers From Hubei,https://www.nytimes.com/2020/02/13/world/asia/china-coronavirus.html,Hubei; Indiana; Hubei Province; Oregon; China,neutral,preventable,travelers; citizens; Chinese authorities,tracking; policing,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; healthcare access,absent,The article implies that the Chinese authorities are taking responsibility for preventing COVID deaths through tracking and policing.,The article treats the situation as a logistical and technological challenge rather than focusing on individual or communal loss.
"Mar 12, 2020",The New York Times,"Tom Hanks Got Sick in Australia, Where Coronavirus ...",https://www.nytimes.com/2020/03/12/world/australia/tom-hanks-rita-wilson-coronavirus.html,Oregon; South Korea; China; Australia; Canada; The United States; Italy; Indiana,neutral,inevitable,public health officials,stress test; battle,,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access,absent,"The article suggests that some countries are ill-prepared, implying a lack of agency in handling the pandemic effectively.","The article treats the pandemic as a public health performance issue, implicitly reducing death to a statistic and a measure of national preparedness."
"Mar 28, 2020",The New York Times,4 Bright Spots Amid the Gloom of Coronavirus,https://www.nytimes.com/2020/03/27/us/coronavirus-good-news-kindness.html,Oregon; Indiana; New York,hopeful,personal tragedy,,drumbeat; bright spots; gleams of hope,on the other side,elderly; racial minorities; working-class; disabled; children; incarcerated people; undocumented immigrants; poverty; racism; healthcare access; long COVID,private,The article does not assign responsibility for COVID deaths and suggests the focus should be on resilience.,Death is downplayed and not directly addressed; focus is on resilience and personal growth.
"Mar 20, 2020",The New York Times,Last Week One Paramedic Was Infected. Now Over 150 ...,https://www.nytimes.com/2020/03/20/nyregion/coronavirus-nyc-emergency-response.html,E.M.S.; Indiana; New York,neutral,systemic injustice,emergency workers; firefighters; health care facilities,hamstrung; works its way through,not regular times,poverty; racism; elder neglect; long COVID; workplace safety; healthcare access,absent,The article suggests systemic issues in emergency response and health department policies are responsible.,The article treats death as a potential statistic affecting emergency response capabilities.
"Mar 26, 2020",The New York Times,What's Going On in This Graph? | Flatten the Curve,https://www.nytimes.com/2020/03/19/learning/whats-going-on-in-this-graph-flatten-the-curve.html,Pennsylvania; New Hampshire; Japan; Oregon; Portsmouth; Vietnam; Massachusetts; Italy; The United States; Indiana; Korea,neutral,preventable,students; healthcare system,flatten the curve; tradeoff; coronacation,,racial minorities; working-class; elderly; disabled; poverty; racism; healthcare access,absent,"The article suggests that interventions like social distancing and quarantines can prevent deaths, implying that responsibility lies with governments and individuals to implement these measures.","Death is treated as a statistic, focusing on infection and death rates, and the effectiveness of interventions."
